Ih,E,12C5,12(C5)2,20C3,15C2,i,12S10,12(S10)3,20S6,15σ,"linear,
rotations",quadratic
Ag,1,1,1,1,1,1,1,1,1,1,,x2+y2+z2
T1g,3,-2cos(4π/5),-2cos(2π/5),0,-1,3,-2cos(2π/5),-2cos(4π/5),0,-1,"(Rx, Ry, Rz)",
T2g,3,-2cos(2π/5),-2cos(4π/5),0,-1,3,-2cos(4π/5),-2cos(2π/5),0,-1,,
Gg,4,-1,-1,1,0,4,-1,-1,1,0,,
Hg,5,0,0,-1,1,5,0,0,-1,1,,"[2z2-x2-y2, x2-y2, xy, xz, yz]"
Au,1,1,1,1,1,-1,-1,-1,-1,-1,,
T1u,3,-2cos(4π/5),-2cos(2π/5),0,-1,-3,2cos(2π/5),2cos(4π/5),0,1,"(x, y, z)",
T2u,3,-2cos(2π/5),-2cos(4π/5),0,-1,-3,2cos(4π/5),2cos(2π/5),0,1,,
Gu,4,-1,-1,1,0,-4,1,1,-1,0,,
Hu,5,0,0,-1,1,-5,0,0,1,-1,,
